,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
2010,2,花田囍事2010,https://zh.wikipedia.org/wiki/%E8%8A%B1%E7%94%B0%E5%9B%8D%E4%BA%8B2010,香港,天馬影視文化,"$15,544,970",74,"$210,067"
1986,3,八喜臨門,,香港,德寶電影公司,"$15,291,287",30.4,"$503,003"
1985,3,再見七日情,,香港,邵氏兄弟,"$15,017,514",29.4,"$510,800"
2003,3,老鼠愛上貓,https://zh.wikipedia.org/wiki/%E8%80%81%E9%BC%A0%E6%84%9B%E4%B8%8A%E8%B2%93,中國大陸、香港,寰亞電影發行,"$14,448,692",65.9,"$219,252"
1994,5,神龍賭聖之旗開得勝,https://zh.wikipedia.org/wiki/%E7%A5%9E%E9%BE%8D%E8%B3%AD%E8%81%96%E4%B9%8B%E6%97%97%E9%96%8B%E5%BE%97%E5%8B%9D,香港,永高院線,"$14,094,286",60.8,"$231,814"
2000,3,公元2000,https://zh.wikipedia.org/wiki/%E5%85%AC%E5%85%832000,香港,寰亞電影發行,"$13,698,313",70.9,"$193,206"
1991,6,富貴吉祥,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E5%90%89%E7%A5%A5,香港,德寶電影公司,"$13,490,889",46.9,"$287,652"
1991,7,中環英雄,https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%92%B0%E8%8B%B1%E9%9B%84_(%E9%9B%BB%E5%BD%B1),香港,德寶電影公司,"$13,402,221",46.9,"$285,762"
1990,4,亂世兒女,https://zh.wikipedia.org/wiki/%E4%BA%82%E4%B8%96%E5%85%92%E5%A5%B3_(1990%E5%B9%B4%E9%9B%BB%E5%BD%B1),香港,嘉樂影片發行,"$13,305,900",42.1,"$316,055"
2019,3,恭喜八婆,https://zh.wikipedia.org/wiki/%E6%81%AD%E5%96%9C%E5%85%AB%E5%A9%86,香港,巴福斯影業,"$13,252,778",99.6,"$133,060"
